t,x,y
5.496000e1,1.235859e2,3.417799e2
5.500000e1,1.254070e2,3.394302e2
5.504000e1,1.285091e2,3.390938e2
5.508000e1,1.312661e2,3.378624e2
5.512000e1,1.345479e2,3.369455e2
5.516000e1,1.373297e2,3.355534e2
5.520000e1,1.405100e2,3.366132e2
5.524000e1,1.426744e2,3.337052e2
5.528000e1,1.457549e2,3.332363e2
5.532000e1,1.488727e2,3.313730e2
5.536000e1,1.516309e2,3.305239e2
5.540000e1,1.548157e2,3.293983e2
5.544000e1,1.575854e2,3.290771e2
5.548000e1,1.603631e2,3.269984e2
5.552000e1,1.633117e2,3.260440e2
5.556000e1,1.667331e2,3.250669e2
5.560000e1,1.696475e2,3.237748e2
5.564000e1,1.723626e2,3.229369e2
5.568000e1,1.752965e2,3.208393e2
5.572000e1,1.785373e2,3.201519e2
5.576000e1,1.814683e2,3.185072e2
5.580000e1,1.845999e2,3.183618e2
5.584000e1,1.875107e2,3.164532e2
5.588000e1,1.904390e2,3.145636e2
5.592000e1,1.933402e2,3.133535e2
5.596000e1,1.972749e2,3.121715e2
5.600000e1,1.997331e2,3.099894e2
5.604000e1,2.032039e2,3.091364e2
5.608000e1,2.059262e2,3.060454e2
5.612000e1,2.086025e2,3.043127e2
5.616000e1,2.117507e2,3.022187e2
5.620000e1,2.142262e2,3.000614e2
5.624000e1,2.172401e2,2.983375e2
5.628000e1,2.201878e2,2.963161e2
5.632000e1,2.229570e2,2.928329e2
5.636000e1,2.257019e2,2.913144e2
5.640000e1,2.293899e2,2.903418e2
5.644000e1,2.320689e2,2.881369e2
5.648000e1,2.345417e2,2.847993e2
5.652000e1,2.380535e2,2.830600e2
5.656000e1,2.402152e2,2.813524e2
5.660000e1,2.434877e2,2.785886e2
5.664000e1,2.457795e2,2.759582e2
5.668000e1,2.482026e2,2.737837e2
5.672000e1,2.515360e2,2.716903e2
5.676000e1,2.536735e2,2.686862e2
5.680000e1,2.560778e2,2.661644e2
5.684000e1,2.592094e2,2.632858e2
5.688000e1,2.615557e2,2.603759e2
5.692000e1,2.638693e2,2.575485e2
5.696000e1,2.659693e2,2.550497e2
5.700000e1,2.686436e2,2.520799e2
5.704000e1,2.704564e2,2.491016e2
5.708000e1,2.733844e2,2.459877e2
5.712000e1,2.761266e2,2.432846e2
5.716000e1,2.790513e2,2.394073e2
5.720000e1,2.813666e2,2.360118e2
5.724000e1,2.837673e2,2.335932e2
5.728000e1,2.863424e2,2.298021e2
5.732000e1,2.894199e2,2.266377e2
5.736000e1,2.922067e2,2.236846e2
5.740000e1,2.951989e2,2.200185e2
5.744000e1,2.978767e2,2.165477e2
5.748000e1,3.006302e2,2.133627e2
5.752000e1,3.027829e2,2.095981e2
5.756000e1,3.053373e2,2.066649e2
5.760000e1,3.080482e2,2.032607e2
5.764000e1,3.097878e2,1.999985e2
5.768000e1,3.121545e2,1.971152e2
5.772000e1,3.139730e2,1.936140e2
5.776000e1,3.161371e2,1.906882e2
5.780000e1,3.178441e2,1.874327e2
5.784000e1,3.201467e2,1.840527e2
5.788000e1,3.219724e2,1.807340e2
5.792000e1,3.243961e2,1.775183e2
5.796000e1,3.263299e2,1.742990e2
5.800000e1,3.287777e2,1.704688e2
5.804000e1,3.306131e2,1.671301e2
5.808000e1,3.327074e2,1.636952e2
5.812000e1,3.344012e2,1.599597e2
5.816000e1,3.363816e2,1.567324e2
5.820000e1,3.378045e2,1.531542e2
5.824000e1,3.397687e2,1.496761e2
5.828000e1,3.407733e2,1.460982e2
