Max Height Percentage, Count, Total Collision Count, Time increment tau[s], MaxH, StartH, Count of y_0' < y_max 
7.33%,311,,,,,
7.34%,297,,,,,
7.35%,305,,,,,
7.36%,300,,,,,
7.37%,322,,,,,
7.38%,297,,,,,
7.39%,280,,,,,
7.40%,299,,,,,
7.41%,319,,,,,
7.42%,333,,,,,
7.43%,326,,,,,
7.44%,308,,,,,
7.45%,316,,,,,
7.46%,316,,,,,
7.47%,297,,,,,
7.48%,342,,,,,
7.49%,311,,,,,
7.50%,318,,,,,
7.51%,306,,,,,
7.52%,326,,,,,
7.53%,311,,,,,
7.54%,338,,,,,
7.55%,302,,,,,
7.56%,353,,,,,
7.57%,331,,,,,
7.58%,286,,,,,
7.59%,334,,,,,
7.60%,267,,,,,
7.61%,295,,,,,
7.62%,299,,,,,
7.63%,310,,,,,
7.64%,314,,,,,
7.65%,349,,,,,
7.66%,318,,,,,
7.67%,330,,,,,
7.68%,327,,,,,
7.69%,334,,,,,
7.70%,306,,,,,
7.71%,277,,,,,
7.72%,305,,,,,
7.73%,278,,,,,
7.74%,315,,,,,
7.75%,306,,,,,
7.76%,302,,,,,
7.77%,318,,,,,
7.78%,322,,,,,
7.79%,282,,,,,
7.80%,279,,,,,
7.81%,311,,,,,
7.82%,322,,,,,
7.83%,294,,,,,
7.84%,308,,,,,
7.85%,338,,,,,
7.86%,322,,,,,
7.87%,308,,,,,
7.88%,293,,,,,
7.89%,300,,,,,
7.90%,295,,,,,
7.91%,324,,,,,
7.92%,333,,,,,
7.93%,293,,,,,
7.94%,309,,,,,
7.95%,296,,,,,
7.96%,284,,,,,
7.97%,297,,,,,
7.98%,300,,,,,
7.99%,316,,,,,
8%,322,,,,,
8.01%,345,,,,,
8.02%,315,,,,,
8.03%,316,,,,,
8.04%,269,,,,,
8.05%,296,,,,,
8.06%,308,,,,,
8.07%,336,,,,,
8.08%,295,,,,,
8.09%,295,,,,,
8.10%,333,,,,,
8.11%,313,,,,,
8.12%,307,,,,,
8.13%,304,,,,,
8.14%,316,,,,,
8.15%,301,,,,,
8.16%,311,,,,,
8.17%,311,,,,,
8.18%,263,,,,,
8.19%,322,,,,,
8.20%,291,,,,,
8.21%,368,,,,,
8.22%,310,,,,,
8.23%,327,,,,,
8.24%,300,,,,,
8.25%,300,,,,,
8.26%,323,,,,,
8.27%,327,,,,,
8.28%,348,,,,,
8.29%,317,,,,,
8.30%,278,,,,,
8.31%,313,,,,,
8.32%,303,,,,,
8.33%,294,,,,,
8.34%,303,,,,,
8.35%,300,,,,,
8.36%,326,,,,,
8.37%,315,,,,,
8.38%,307,,,,,
8.39%,325,,,,,
8.40%,304,,,,,
8.41%,299,,,,,
8.42%,317,,,,,
8.43%,309,,,,,
8.44%,297,,,,,
8.45%,322,,,,,
8.46%,309,,,,,
8.47%,264,,,,,
8.48%,321,,,,,
8.49%,292,,,,,
8.50%,314,,,,,
8.51%,287,,,,,
8.52%,306,,,,,
8.53%,293,,,,,
8.54%,328,,,,,
8.55%,305,,,,,
8.56%,340,,,,,
8.57%,301,,,,,
8.58%,305,,,,,
8.59%,295,,,,,
8.60%,316,,,,,
8.61%,322,,,,,
8.62%,315,,,,,
8.63%,306,,,,,
8.64%,299,,,,,
8.65%,322,,,,,
8.66%,291,,,,,
8.67%,324,,,,,
8.68%,274,,,,,
8.69%,307,,,,,
8.70%,321,,,,,
8.71%,304,,,,,
8.72%,322,,,,,
8.73%,323,,,,,
8.74%,296,,,,,
8.75%,285,,,,,
8.76%,280,,,,,
8.77%,309,,,,,
8.78%,298,,,,,
8.79%,310,,,,,
8.80%,311,,,,,
8.81%,300,,,,,
8.82%,281,,,,,
8.83%,311,,,,,
8.84%,323,,,,,
8.85%,298,,,,,
8.86%,302,,,,,
8.87%,346,,,,,
8.88%,316,,,,,
8.89%,309,,,,,
8.90%,304,,,,,
8.91%,296,,,,,
