t,x,y
1.764000e1,1.067878e2,3.485770e2
1.768000e1,1.224316e2,3.453601e2
1.772000e1,1.370015e2,3.384256e2
1.776000e1,1.516077e2,3.310830e2
1.780000e1,1.649098e2,3.261966e2
1.784000e1,1.783039e2,3.189401e2
1.788000e1,1.925056e2,3.113713e2
1.792000e1,2.064726e2,3.019971e2
1.796000e1,2.182431e2,2.914806e2
1.800000e1,2.304182e2,2.840544e2
1.804000e1,2.418963e2,2.719498e2
1.808000e1,2.536117e2,2.609110e2
1.812000e1,2.647581e2,2.489262e2
1.816000e1,2.759772e2,2.352817e2
1.820000e1,2.865761e2,2.225558e2
1.824000e1,2.965658e2,2.090483e2
1.828000e1,3.049469e2,1.953735e2
1.832000e1,3.129974e2,1.822771e2
1.836000e1,3.222014e2,1.690654e2
1.840000e1,3.288894e2,1.551620e2
1.844000e1,3.334547e2,1.404258e2
1.848000e1,3.390298e2,1.249654e2
1.852000e1,3.436726e2,1.101076e2
1.856000e1,3.477407e2,9.430859e1
1.860000e1,3.516648e2,7.853280e1
1.864000e1,3.545426e2,6.218633e1
1.868000e1,3.569060e2,4.692665e1
1.872000e1,3.575891e2,3.080072e1
1.876000e1,3.583350e2,1.436307e1
1.880000e1,3.582464e2,-9.706242e-1
1.884000e1,3.583220e2,-1.694102e1
1.888000e1,3.567399e2,-3.176444e1
1.892000e1,3.533477e2,-4.876193e1
1.896000e1,3.503078e2,-6.354717e1
1.900000e1,3.468898e2,-7.728151e1
1.904000e1,3.431950e2,-9.288961e1
1.908000e1,3.393488e2,-1.082478e2
1.912000e1,3.333885e2,-1.251679e2
1.916000e1,3.266706e2,-1.365698e2
1.920000e1,3.192678e2,-1.507370e2
1.924000e1,3.131981e2,-1.635568e2
1.928000e1,3.094833e2,-1.791881e2
1.932000e1,2.963604e2,-1.903038e2
1.936000e1,2.870943e2,-2.027873e2
1.940000e1,2.771472e2,-2.144756e2
1.944000e1,2.669064e2,-2.254457e2
1.948000e1,2.564949e2,-2.378719e2
1.952000e1,2.453459e2,-2.473984e2
1.956000e1,2.357613e2,-2.587999e2
1.960000e1,2.257730e2,-2.700844e2
1.964000e1,2.123959e2,-2.792695e2
1.968000e1,1.971690e2,-2.864271e2
1.972000e1,1.828225e2,-2.927715e2
1.976000e1,1.709003e2,-3.030123e2
1.980000e1,1.560288e2,-3.069235e2
1.984000e1,1.418783e2,-3.130673e2
1.988000e1,1.261953e2,-3.187226e2
1.992000e1,1.100172e2,-3.249958e2
1.996000e1,9.745426e1,-3.280150e2
2.000000e1,8.374160e1,-3.351018e2
2.004000e1,6.818926e1,-3.345158e2
2.008000e1,5.370344e1,-3.367813e2
2.012000e1,3.750417e1,-3.364008e2
2.016000e1,2.202358e1,-3.371104e2
2.020000e1,3.872302e0,-3.390820e2
2.024000e1,-1.068830e1,-3.383407e2
2.028000e1,-2.723657e1,-3.371614e2
2.032000e1,-4.264984e1,-3.361670e2
2.036000e1,-5.546758e1,-3.355527e2
2.040000e1,-7.470319e1,-3.307536e2
2.044000e1,-8.896387e1,-3.285529e2
2.048000e1,-1.012696e2,-3.228390e2
2.052000e1,-1.178489e2,-3.174338e2
2.056000e1,-1.319552e2,-3.107135e2
2.060000e1,-1.459456e2,-3.039689e2
2.064000e1,-1.621997e2,-2.998701e2
2.068000e1,-1.723569e2,-2.904169e2
2.072000e1,-1.869402e2,-2.835758e2
2.076000e1,-1.986117e2,-2.731124e2
2.080000e1,-2.131986e2,-2.664979e2
2.084000e1,-2.206546e2,-2.530817e2
2.088000e1,-2.362458e2,-2.473927e2
2.092000e1,-2.451987e2,-2.337888e2
2.096000e1,-2.551164e2,-2.236035e2
2.100000e1,-2.670469e2,-2.129770e2
2.104000e1,-2.762351e2,-1.996299e2
2.108000e1,-2.868496e2,-1.905839e2
2.112000e1,-2.933246e2,-1.695044e2
2.116000e1,-3.014470e2,-1.562759e2
2.120000e1,-3.070893e2,-1.434934e2
2.124000e1,-3.132664e2,-1.292389e2
2.128000e1,-3.184018e2,-1.142336e2
2.132000e1,-3.237933e2,-1.007702e2
2.136000e1,-3.282014e2,-8.679418e1
2.140000e1,-3.329107e2,-7.350106e1
2.144000e1,-3.359761e2,-5.975070e1
2.148000e1,-3.393910e2,-4.452183e1
2.152000e1,-3.413864e2,-3.048879e1
2.156000e1,-3.433733e2,-1.526234e1
2.160000e1,-3.459623e2,-1.651795e0
2.164000e1,-3.455824e2,1.506398e1
2.168000e1,-3.443797e2,3.031323e1
2.172000e1,-3.435200e2,4.375143e1
2.176000e1,-3.407723e2,5.675513e1
2.180000e1,-3.381688e2,7.504261e1
2.184000e1,-3.350328e2,9.015804e1
2.188000e1,-3.327508e2,1.028266e2
2.192000e1,-3.264984e2,1.178334e2
2.196000e1,-3.239022e2,1.347139e2
2.200000e1,-3.177845e2,1.458040e2
2.204000e1,-3.109177e2,1.613611e2
2.208000e1,-3.040468e2,1.749313e2
2.212000e1,-2.956930e2,1.885815e2
2.216000e1,-2.854276e2,2.009406e2
2.220000e1,-2.802221e2,2.150239e2
2.224000e1,-2.697578e2,2.298439e2
2.228000e1,-2.605816e2,2.423615e2
2.232000e1,-2.524598e2,2.523874e2
2.236000e1,-2.375432e2,2.611976e2
2.240000e1,-2.266545e2,2.707101e2
2.244000e1,-2.160910e2,2.807393e2
2.248000e1,-2.059814e2,2.922842e2
2.252000e1,-1.926159e2,3.005586e2
2.256000e1,-1.794504e2,3.084202e2
2.260000e1,-1.665127e2,3.145684e2
2.264000e1,-1.543071e2,3.219557e2
2.268000e1,-1.402136e2,3.286593e2
2.272000e1,-1.253159e2,3.329404e2
2.276000e1,-1.123765e2,3.396030e2
2.280000e1,-9.819394e1,3.432886e2
2.284000e1,-8.280771e1,3.473343e2
2.288000e1,-6.826399e1,3.522074e2
2.292000e1,-5.354339e1,3.547969e2
2.296000e1,-3.667885e1,3.567570e2
2.300000e1,-2.263670e1,3.588971e2
2.304000e1,-7.705216e0,3.587784e2
2.308000e1,6.574785e0,3.601513e2
2.312000e1,2.127876e1,3.606556e2
2.316000e1,3.647298e1,3.584471e2
2.320000e1,5.208615e1,3.580645e2
2.324000e1,6.754491e1,3.561039e2
2.328000e1,8.265877e1,3.545003e2
2.332000e1,9.760942e1,3.515074e2
2.336000e1,1.123011e2,3.481262e2
2.340000e1,1.268331e2,3.421995e2
2.344000e1,1.420543e2,3.370817e2
2.348000e1,1.559210e2,3.324014e2
2.352000e1,1.706492e2,3.243405e2
2.356000e1,1.844621e2,3.192794e2
2.360000e1,1.983331e2,3.117730e2
2.364000e1,2.086614e2,3.005345e2
2.368000e1,2.228223e2,2.951313e2
2.372000e1,2.342251e2,2.795364e2
2.376000e1,2.471071e2,2.677322e2
2.380000e1,2.582546e2,2.552985e2
2.384000e1,2.686754e2,2.444637e2
2.388000e1,2.799660e2,2.316265e2
2.392000e1,2.906538e2,2.168912e2
2.396000e1,2.999171e2,2.038016e2
2.400000e1,3.078956e2,1.914887e2
2.404000e1,3.162618e2,1.778485e2
2.408000e1,3.237185e2,1.639105e2
2.412000e1,3.301078e2,1.501087e2
2.416000e1,3.355165e2,1.360646e2
2.420000e1,3.405330e2,1.216406e2
2.424000e1,3.447679e2,1.063668e2
2.428000e1,3.489191e2,9.082839e1
2.432000e1,3.526701e2,7.429403e1
2.436000e1,3.554150e2,5.785500e1
2.440000e1,3.567729e2,4.317287e1
2.444000e1,3.580322e2,2.669554e1
2.448000e1,3.580446e2,1.060474e1
2.452000e1,3.583696e2,-4.937986e0
2.456000e1,3.580442e2,-2.036715e1
2.460000e1,3.559420e2,-3.635348e1
2.464000e1,3.539996e2,-5.213933e1
2.468000e1,3.509357e2,-6.563012e1
2.472000e1,3.476998e2,-7.997413e1
2.476000e1,3.429512e2,-9.657620e1
2.480000e1,3.375857e2,-1.123649e2
2.484000e1,3.320048e2,-1.267675e2
2.488000e1,3.260626e2,-1.387446e2
2.492000e1,3.175978e2,-1.550223e2
2.496000e1,3.108130e2,-1.692825e2
2.500000e1,3.028824e2,-1.810001e2
2.504000e1,2.937507e2,-1.938209e2
2.508000e1,2.843983e2,-2.051872e2
2.512000e1,2.749184e2,-2.179065e2
2.516000e1,2.646957e2,-2.289043e2
2.520000e1,2.540063e2,-2.397790e2
2.524000e1,2.429554e2,-2.493930e2
2.528000e1,2.310022e2,-2.595758e2
2.532000e1,2.193252e2,-2.677121e2
2.536000e1,2.065733e2,-2.779445e2
2.540000e1,1.930000e2,-2.864058e2
2.544000e1,1.790607e2,-2.947002e2
2.548000e1,1.656554e2,-3.015540e2
2.552000e1,1.516751e2,-3.070350e2
2.556000e1,1.369387e2,-3.140681e2
2.560000e1,1.219549e2,-3.202379e2
2.564000e1,1.075360e2,-3.238926e2
2.568000e1,9.276166e1,-3.273974e2
2.572000e1,7.868322e1,-3.306122e2
2.576000e1,6.284565e1,-3.326956e2
2.580000e1,4.763462e1,-3.344417e2
2.584000e1,3.267693e1,-3.353197e2
2.588000e1,1.801083e1,-3.368010e2
2.592000e1,1.737886e0,-3.367239e2
