Unit:(mV)
                     CH1         CH2
Frequency              ?           ?
00979            -128.00    -1080.00
00980            -128.00    -1120.00
00981            -128.00    -1080.00
00982            -128.00    -1080.00
00983            -128.00    -1080.00
00984            -128.00    -1120.00
00985            -132.00    -1120.00
00986            -128.00    -1080.00
00987            -128.00    -1120.00
00988            -128.00    -1080.00
00989            -116.00    -1120.00
00990            -100.00    -1120.00
00991             -68.00    -1120.00
00992             -40.00    -1120.00
00993             -32.00    -1160.00
00994             -32.00    -1200.00
00995             -32.00    -1160.00
00996             -32.00    -1120.00
00997             -32.00    -1080.00
00998             -28.00    -1000.00
00999             -32.00     -880.00
01000             -32.00     -720.00
01001             -28.00     -480.00
01002             -28.00     -360.00
01003             -36.00     -280.00
01004             -68.00     -320.00
01005            -100.00     -320.00
01006            -116.00     -320.00
01007            -136.00     -280.00
01008            -132.00     -280.00
01009            -132.00     -360.00
01010            -136.00     -360.00
01011            -132.00     -280.00
01012            -136.00     -280.00
01013            -132.00     -280.00
01014            -136.00     -360.00
01015            -132.00     -320.00
01016            -136.00     -280.00
01017            -136.00     -280.00
01018            -140.00     -320.00
01019            -120.00     -520.00
01020             -96.00     -880.00
01021             -64.00    -1240.00
01022             -40.00    -1560.00
01023             -32.00    -1800.00
01024             -32.00    -1920.00
