t,x,dx,d2x,y,dy,d2y,p,V,S1,S2,F
0.0052,-0.009518449313,-1.220895855882,553.307997747116,0.000561670712,0.375358974152,176.543059098281,0.000459531789,112542.41290632878,0.008835408680522929,0.001409549548528244,16.6733059098281
0.005205,-0.009524553792,-1.218129315893,554.629971396791,0.000563547507,0.376241689447,176.726434319696,0.000459480445,112560.01955224079,0.008844071320868884,0.001409030587970209,16.691643431969602
0.00521,-0.009530644439,-1.215356166036,555.951764257408,0.000565428715,0.377125321619,176.909207129683,0.000459429176,112577.60519162337,0.008852721318546404,0.00140851060298008,16.7099207129683
0.005215,-0.00953672122,-1.212576407215,557.273348518343,0.000567314342,0.378009867655,177.091372174814,0.000459377982,112595.16980559479,0.00886135858183058,0.0014079895932236435,16.7281372174814
0.00522,-0.009542784102,-1.209790040472,558.594711568183,0.000569204391,0.378895324516,177.272929039912,0.000459326865,112612.71268881556,0.008869983020317107,0.001407467559200096,16.7462929039912
0.005225,-0.009548833052,-1.206997066914,559.915810288553,0.000571098868,0.379781689161,177.453867549778,0.000459275824,112630.23416521375,0.008878594543504714,0.0014069445005842163,16.764386754977803
0.00523,-0.009554868037,-1.204197487863,561.236647146587,0.000572997776,0.380668958499,177.634192126074,0.000459224861,112647.73352884113,0.008887193060796094,0.0014064204178835767,16.7824192126074
0.005235,-0.009560889024,-1.201391304627,562.557178827982,0.000574901121,0.38155712946,177.813892602176,0.000459173976,112665.21076005675,0.008895778481498843,0.0014058953107819706,16.8003892602176
0.00524,-0.009566895981,-1.198578518733,563.877392514097,0.000576808907,0.382446198923,177.992968543042,0.000459123169,112682.66583923726,0.008904350716254016,0.0014053691795196373,16.8182968543042
0.005245,-0.009572888874,-1.19575913177,565.19727517438,0.000578721138,0.383336163766,178.171419516341,0.000459072441,112700.09840308348,0.008912909672756477,0.0014048420243409692,16.8361419516341
0.00525,-0.00957886767,-1.192933145394,566.516798505703,0.000580637819,0.384227020864,178.349240230938,0.000459021793,112717.50808794968,0.008921455260034171,0.0014043138452189984,16.8539240230938
0.005255,-0.009584832336,-1.190100561401,567.835934098815,0.000582558954,0.385118767065,178.526425435474,0.000458971225,112734.89487372006,0.008929987387023735,0.0014037846424067527,16.871642543547402
0.00526,-0.009590782839,-1.187261381731,569.154668807336,0.000584484548,0.386011399192,178.702974673932,0.000458920738,112752.25839633164,0.008938505962571439,0.001403254415886122,16.889297467393202
0.005265,-0.009596719146,-1.184415608387,570.472974066855,0.000586414605,0.386904914065,178.878882703168,0.000458870333,112769.59829137792,0.008947010895434166,0.00140272316591879,16.9068882703168
0.00527,-0.009602641224,-1.181563243517,571.79082120777,0.00058834913,0.387799308479,179.054144249965,0.00045882001,112786.91453825694,0.008955502094280367,0.001402190892495525,16.9244144249965
0.005275,-0.00960854904,-1.178704289411,573.108196880277,0.000590288127,0.3886945792,179.228758905017,0.00045876977,112804.20677214958,0.008963979467691046,0.0014016575958866865,16.941875890501702
0.00528,-0.009614442561,-1.175838748427,574.425072261321,0.0005922316,0.389590722995,179.402721438724,0.000458719614,112821.47462789588,0.008972442924160714,0.0014011232763668187,16.9592721438724
0.005285,-0.009620321755,-1.172966623066,575.741418515785,0.000594179554,0.390487736602,179.576026591473,0.000458669542,112838.71808441458,0.008980892373536125,0.0014005879339398855,16.9766026591473
0.00529,-0.009626186588,-1.170087915973,577.057222001192,0.000596131993,0.391385616735,179.748673966099,0.000458619555,112855.936776138,0.008989327722706279,0.0014000515688891348,16.9938673966099
0.005295,-0.009632037028,-1.167202629863,578.372453731145,0.000598088921,0.392284360105,179.920658346984,0.000458569653,112873.13068175908,0.008997748881352107,0.001399514181502013,17.0110658346984
0.0053,-0.009637873041,-1.164310767594,579.687099948831,0.000600050343,0.393183963397,180.091979309411,0.000458519837,112890.2994353054,0.009006155756194312,0.0013989757717957224,17.0281979309411
0.005305,-0.009643694595,-1.161412332094,581.001131517716,0.000602016263,0.394084423294,180.26263164669,0.000458470108,112907.44267046842,0.009014548256751971,0.0013984363400664412,17.045263164669002
0.00531,-0.009649501657,-1.158507326436,582.314519106323,0.000603986685,0.394985736452,180.43261015761,0.000458420466,112924.56036547253,0.009022926291024781,0.0013978958866145584,17.062261015761
0.005315,-0.009655294194,-1.15559575384,583.627248853993,0.000605961614,0.395887899503,180.601914430106,0.000458370912,112941.65215360954,0.009031289766932897,0.001397354411470558,17.0791914430106
0.00532,-0.009661072173,-1.152677617596,584.939291280618,0.000607941053,0.396790909075,180.770539307633,0.000458321446,112958.71801288481,0.009039638592317958,0.0013968119152176,17.0960539307633
0.005325,-0.009666835561,-1.14975292114,586.250632414438,0.000609925008,0.397694761772,180.938484350721,0.000458272069,112975.75757619344,0.009047972674944098,0.0013962683976209255,17.112848435072102
0.00533,-0.009672584326,-1.146821667978,587.561242721851,0.000611913482,0.398599454194,181.105744412259,0.000458222782,112992.77047609958,0.009056291923946648,0.001395723859272255,17.129574441225902
0.005335,-0.009678318434,-1.143883861764,588.871092380978,0.000613906479,0.399504982916,181.272314315457,0.000458173585,113009.75669015148,0.00906459624549231,0.0013951783004934196,17.1462314315457
0.00534,-0.009684037853,-1.140939506302,590.180167322352,0.000615904004,0.400411344488,181.438193669604,0.000458124479,113026.71585052198,0.009072885548568712,0.0013946317213369126,17.162819366960402
0.005345,-0.009689742551,-1.137988605465,591.48843776732,0.000617906061,0.401318535456,181.603377307558,0.000458075465,113043.6475890562,0.009081159742094459,0.001394084122133369,17.1793377307558
0.00535,-0.009695432494,-1.135031163276,592.795873648916,0.000619912654,0.402226552343,181.767860068094,0.000458026543,113060.55188285299,0.009089418732016035,0.0013935355032176678,17.1957860068094
0.005355,-0.00970110765,-1.132067183908,594.102460709796,0.000621923787,0.403135391643,181.931641609852,0.000457977714,113077.42836337176,0.009097662427110529,0.0013929858649289351,17.2121641609852
0.00536,-0.009706767986,-1.129096671604,595.40816883439,0.000623939464,0.404045049851,182.094716781636,0.000457928978,113094.27700750431,0.009105890734634855,0.001392435207610549,17.2284716781636
0.005365,-0.009712413469,-1.12611963076,596.712983564929,0.000625959689,0.404955523435,182.257085250866,0.000457880336,113111.09744632762,0.009114103561776709,0.001391883531610142,17.2447085250866
0.00537,-0.009718044067,-1.123136065842,598.016874739346,0.000627984467,0.405866808861,182.418741840754,0.000457831789,113127.88931059642,0.009122300817111982,0.0013913308370066952,17.2608741840754
0.005375,-0.009723659747,-1.120145981468,599.319812002925,0.000630013801,0.40677890257,182.5796814522,0.000457783337,113144.65257676551,0.00913048240769631,0.0013907771244294942,17.27696814522
0.00538,-0.009729260477,-1.117149382408,600.621780810334,0.000632047696,0.407691800977,182.739903731259,0.000457734981,113161.38687521304,0.009138648241977783,0.0013902223939662724,17.2929903731259
