"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.385309011E1,-3.543750000E1,5.364375305E1,2.587500095E0,6.434410466E1
1.386309011E1,-3.558750153E1,5.390625381E1,2.475000143E0,6.464116406E1
1.387309011E1,-3.564375305E1,5.330625153E1,2.287500143E0,6.416592741E1
1.388309011E1,-3.558750153E1,5.328750229E1,2.343750000E0,6.412114573E1
1.389309011E1,-3.541875076E1,5.336250305E1,2.362500191E0,6.409076411E1
1.390309011E1,-3.547500229E1,5.328750229E1,2.475000143E0,6.406371292E1
1.391309011E1,-3.536250305E1,5.343750381E1,2.362500191E0,6.412218682E1
1.392309011E1,-3.540000153E1,5.370000076E1,2.362500191E0,6.436172463E1
1.393309011E1,-3.556875229E1,5.409375381E1,2.512500048E0,6.478875672E1
1.394309011E1,-3.556875229E1,5.385000229E1,2.343750000E0,6.457903723E1
1.395309011E1,-3.564375305E1,5.418750381E1,2.437500000E0,6.490534730E1
1.396309011E1,-3.586875153E1,5.409375381E1,2.343750000E0,6.494763046E1
1.397309011E1,-3.571875000E1,5.420625305E1,2.212500095E0,6.495415405E1
1.398309011E1,-3.575625229E1,5.452500153E1,1.931250095E0,6.523200975E1
1.399309011E1,-3.585000229E1,5.452500153E1,1.912500024E0,6.528289295E1
1.400309011E1,-3.590625000E1,5.454375076E1,1.931250095E0,6.533000278E1
1.401309011E1,-3.600000000E1,5.441250229E1,1.668750048E0,6.526488437E1
1.402309011E1,-3.600000000E1,5.460000229E1,1.725000024E0,6.542274738E1
1.403309011E1,-3.620625305E1,5.454375076E1,1.593750119E0,6.548628518E1
1.404309011E1,-3.600000000E1,5.461875153E1,1.575000048E0,6.543461350E1
1.405309011E1,-3.609375000E1,5.465625381E1,1.706250072E0,6.552080707E1
1.406309011E1,-3.600000000E1,5.475000381E1,1.668750048E0,6.554653038E1
1.407309011E1,-3.613125229E1,5.448750305E1,1.743750095E0,6.540180460E1
1.408309011E1,-3.601875305E1,5.441250229E1,1.687500119E0,6.527571243E1
1.409309011E1,-3.594375229E1,5.450625229E1,2.118750095E0,6.532514041E1
1.410309011E1,-3.592500305E1,5.435625076E1,2.268750191E0,6.519474725E1
1.411309011E1,-3.555000305E1,5.437500381E1,2.400000095E0,6.500925901E1
1.412309011E1,-3.558750153E1,5.437500381E1,2.343750000E0,6.502772077E1
1.413309011E1,-3.556875229E1,5.439375305E1,2.418750048E0,6.503588903E1
1.414309011E1,-3.570000076E1,5.418750381E1,2.493750095E0,6.493838937E1
1.415309011E1,-3.575625229E1,5.456250381E1,2.325000048E0,6.527619800E1
1.416309011E1,-3.592500305E1,5.450625229E1,2.287500143E0,6.532051775E1
1.417309011E1,-3.573750305E1,5.445000076E1,2.156250000E0,6.516610408E1
1.418309011E1,-3.573750305E1,5.446875381E1,1.968750119E0,6.517584095E1
1.419309011E1,-3.571875000E1,5.454375076E1,1.987500072E0,6.522882802E1
1.420309011E1,-3.570000076E1,5.443125153E1,1.968750119E0,6.512393703E1
