"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.925556055E0,8.713125610E2,1.870687561E2,8.428125000E1,8.951444730E2
2.935556055E0,8.720812988E2,1.864312592E2,8.358750153E1,8.956948568E2
2.945556055E0,8.728875122E2,1.855125122E2,8.295000458E1,8.962299953E2
2.955556055E0,8.740313110E2,1.847437592E2,8.218125153E1,8.971146790E2
2.965556055E0,8.748375244E2,1.838250122E2,8.176875305E1,8.976739153E2
2.975556055E0,8.759812622E2,1.831312561E2,8.143125153E1,8.986163127E2
2.985556055E0,8.768625488E2,1.825500031E2,8.115000153E1,8.993318386E2
2.995556055E0,8.775562744E2,1.818937531E2,8.090625000E1,8.998534178E2
3.005556055E0,8.781563110E2,1.815937500E2,8.071875000E1,9.003612127E2
3.015556055E0,8.789063110E2,1.815375061E2,8.064375305E1,9.010746831E2
3.025556055E0,8.795812988E2,1.816875000E2,8.056875610E1,9.017565821E2
3.035556055E0,8.801437988E2,1.816125031E2,8.047500610E1,9.022817933E2
3.045556055E0,8.809688110E2,1.818375092E2,8.036250305E1,9.031218399E2
3.055556055E0,8.817188110E2,1.818375092E2,8.015625000E1,9.038351431E2
3.065556055E0,8.824125366E2,1.821187592E2,7.996875000E1,9.045518936E2
3.075556055E0,8.830687866E2,1.823812561E2,7.972500610E1,9.052234426E2
3.085556055E0,8.839312744E2,1.830750122E2,7.965000153E1,9.061981465E2
3.095556055E0,8.843250122E2,1.835062561E2,7.948125458E1,9.066545886E2
3.105556055E0,8.845687866E2,1.839750061E2,7.942500305E1,9.069823991E2
3.115556055E0,8.847000122E2,1.846500092E2,7.944375610E1,9.072491653E2
3.125556055E0,8.847375488E2,1.852687531E2,7.920000458E1,9.073905895E2
3.135556055E0,8.847937622E2,1.859250031E2,7.906875610E1,9.075681664E2
3.145556055E0,8.847375488E2,1.863187561E2,7.901250458E1,9.075892160E2
3.155556055E0,8.847750244E2,1.866000061E2,7.880625153E1,9.076655945E2
3.165556055E0,8.848125610E2,1.868437500E2,7.891875458E1,9.077620971E2
3.175556055E0,8.850938110E2,1.870875092E2,7.882500458E1,9.080782850E2
3.185556055E0,8.853562622E2,1.874812622E2,7.871250153E1,9.084055221E2
3.195556055E0,8.857500610E2,1.878750000E2,7.850625610E1,9.088528035E2
3.205556055E0,8.859562988E2,1.881937561E2,7.850625610E1,9.091197311E2
3.215556055E0,8.862000122E2,1.885125122E2,7.848750305E1,9.094216388E2
3.225556055E0,8.867250366E2,1.889062500E2,7.826250458E1,9.099955393E2
3.235556055E0,8.871375122E2,1.891687622E2,7.854375458E1,9.104761982E2
3.245556055E0,8.872312622E2,1.891312561E2,7.841250610E1,9.105484423E2
3.255556055E0,8.874187622E2,1.891500092E2,7.839375305E1,9.107334220E2
3.265556055E0,8.878125610E2,1.889437561E2,7.835625458E1,9.110711219E2
3.275556055E0,8.880000610E2,1.890000000E2,7.850625610E1,9.112784101E2
