Unit:(mV)
                     CH1         CH2
Frequency      13.682 Hz   11.901 Hz
00573             -20.00     -240.00
00574             -28.00     -200.00
00575             -24.00     -760.00
00576             -28.00    -1400.00
00577             -32.00    -1640.00
00578             -64.00    -1640.00
00579            -112.00    -1640.00
00580            -116.00    -1680.00
00581            -120.00    -1720.00
00582            -124.00    -1720.00
00583            -124.00    -1720.00
00584            -120.00    -1760.00
00585            -116.00    -1760.00
00586            -116.00    -1560.00
00587             -80.00    -1040.00
00588             -32.00     -360.00
00589             -32.00     -320.00
00590             -28.00     -320.00
00591             -28.00     -320.00
00592             -28.00     -280.00
00593             -32.00     -320.00
00594             -32.00     -280.00
00595             -64.00     -280.00
00596            -116.00     -280.00
00597            -128.00     -720.00
00598            -124.00    -1400.00
00599            -128.00    -1760.00
00600            -120.00    -1760.00
00601            -128.00    -1800.00
00602            -124.00    -1800.00
00603            -124.00    -1800.00
00604             -84.00    -1840.00
00605             -28.00    -1840.00
00606             -28.00    -1880.00
00607             -32.00    -1880.00
00608             -32.00    -1840.00
00609             -24.00    -1360.00
00610             -28.00     -480.00
00611             -32.00     -320.00
00612             -72.00     -280.00
00613            -116.00     -280.00
00614            -124.00     -240.00
00615            -116.00     -240.00
00616            -116.00     -240.00
00617            -116.00     -200.00
00618            -120.00     -200.00
00619            -116.00     -360.00
00620            -112.00     -960.00
00621             -92.00    -1440.00
00622             -48.00    -1560.00
00623             -28.00    -1560.00
00624             -28.00    -1560.00
00625             -32.00    -1560.00
00626             -32.00    -1560.00
00627             -28.00    -1560.00
00628             -28.00    -1560.00
00629             -24.00    -1600.00
00630             -44.00    -1640.00
00631             -88.00    -1440.00
00632            -116.00     -960.00
00633            -124.00     -360.00
00634            -120.00     -360.00
00635            -124.00     -320.00
00636            -128.00     -320.00
00637            -124.00     -280.00
00638            -120.00     -280.00
00639            -124.00     -240.00
00640            -120.00     -240.00
00641            -100.00     -280.00
00642             -64.00     -400.00
00643             -32.00     -960.00
00644             -32.00    -1440.00
00645             -32.00    -1560.00
00646             -32.00    -1600.00
00647             -32.00    -1640.00
00648             -28.00    -1600.00
00649             -28.00    -1640.00
00650             -32.00    -1600.00
00651             -40.00    -1640.00
00652             -84.00    -1680.00
00653            -124.00    -1720.00
00654            -128.00    -1480.00
00655            -128.00     -960.00
00656            -128.00     -400.00
00657            -124.00     -360.00
00658            -124.00     -280.00
00659            -124.00     -280.00
00660            -124.00     -280.00
00661            -124.00     -280.00
00662            -112.00     -280.00
00663             -80.00     -280.00
00664             -36.00     -280.00
00665             -28.00     -400.00
00666             -32.00     -760.00
00667             -32.00     -960.00
00668             -28.00    -1000.00
