d, omega_{driving}, omega_{driven}/omega_{driving}, Delta phi, t_{run}, Avg, Dev, Switch dir., Avg deriv., Linear fit coef.
12.25,10.0,1.19,0.0,25.0,-0.8752654930771873,0.15141046392796148,False,0.024418472252722773,0.02450101507622472
12.25,10.0,1.2,0.0,25.0,-0.9027941976867274,0.14372496188999992,False,0.023462655613280647,0.02322673383452598
12.25,10.0,1.21,0.0,25.0,-0.9021367067813421,0.148899038399171,False,0.02408622361968022,0.02406278675300704
12.25,10.0,1.22,0.0,25.0,-0.9068811422266017,0.15151946080821177,False,0.02441699901640063,0.02447122940082588
12.25,10.0,1.23,0.0,25.0,-0.9286489436419768,0.14498503324810305,False,0.02369589843343635,0.0234805472393088
12.25,10.0,1.24,0.0,25.0,-0.9232836252640576,0.1539116721194048,False,0.024679445864647123,0.024818147064122928
12.25,10.0,1.25,0.0,25.0,-0.9498208866092654,0.14317719363395265,False,0.023603568326755687,0.023279947521000675
12.25,10.0,1.26,0.0,25.0,-0.9435319520578556,0.15432863731788765,False,0.024669034920955162,0.02483547677027699
12.25,10.0,1.27,0.0,25.0,-0.9681375558729863,0.14316354052656005,False,0.023664872491603844,0.02334687893096432
12.25,10.0,1.28,0.0,25.0,-0.9627744372887551,0.1552763228677105,False,0.024763740927055574,0.024927778212077804
12.25,10.0,1.29,0.0,25.0,-0.986470339144062,0.1434197203381571,False,0.023758433611152496,0.023422494400430725
12.25,10.0,1.3,0.0,25.0,-0.9808627134429692,0.15690103172724454,False,0.02493732573356733,0.025133834629923614
12.25,10.0,1.31,0.0,25.0,-1.0032502649344823,0.14555799026522118,False,0.023965608906217333,0.02369460985052838
12.25,10.0,1.32,0.0,25.0,-1.0005939480612784,0.15672642132788098,False,0.024967924109744837,0.025154741449418268
12.25,10.0,1.33,0.0,25.0,-1.0166539489875843,0.15116302292662495,False,0.024499590181324183,0.024415241077106596
12.25,10.0,1.34,0.0,25.0,-1.0285265791879756,0.1484191875233154,False,0.024296865927907245,0.024116536759045737
12.25,10.0,1.35,0.0,25.0,-1.0292089800664999,0.15767066782270803,False,0.02509746715250804,0.02529043292141202
12.25,10.0,1.36,0.0,25.0,-1.0483389734866666,0.14799048108364826,False,0.024297698415775337,0.02403852015787043
12.25,10.0,1.37,0.0,25.0,-1.051774191971657,0.15423325904271876,False,0.024862714298290994,0.024880948848385955
12.25,10.0,1.38,0.0,25.0,-1.0582687916566673,0.15731380279129412,False,0.025215750553553285,0.025339870358582532
12.25,10.0,1.39,0.0,25.0,-1.0754887458215558,0.14980548399271712,False,0.02447500288171677,0.0242517499762168
12.25,10.0,1.4,0.0,25.0,-1.082508809863251,0.15233959876374872,False,0.024765272972507926,0.02462009201157185
12.25,10.0,1.41,0.0,25.0,-1.0852724881075664,0.1590340122962984,False,0.02547686801528036,0.02566057352927749
12.25,10.0,1.42,0.0,25.0,-1.0993086123571896,0.1547249438471941,False,0.025059118767126715,0.025004317919369377
12.25,10.0,1.43,0.0,25.0,-1.1133963074741202,0.1502801990011076,False,0.02446089536226848,0.02426476169737326
12.25,10.0,1.44,0.0,25.0,-1.1180876943903884,0.1551185441573849,False,0.025119737063037644,0.025054405790424072
12.25,10.0,1.45,0.0,25.0,-1.123009983105836,0.15970466866369684,False,0.025720966687274617,0.02582960262339237
12.25,10.0,1.46,0.0,25.0,-1.1346288343917783,0.15768136689524198,False,0.025499813729535702,0.025506744389995634
12.25,10.0,1.47,0.0,25.0,-1.147408469026248,0.1545539597605371,False,0.025013447229391594,0.024952483489716702
12.25,10.0,1.48,0.0,25.0,-1.1586644640520551,0.15293319270819355,False,0.024775953126791515,0.024625408021261178
12.25,10.0,1.49,0.0,25.0,-1.1658322940303734,0.15527368245418222,False,0.025145269832568873,0.025041544085475306
12.25,10.0,1.5,0.0,25.0,-1.1712921054741081,0.159282867085182,False,0.02576355859272041,0.025788944758322545
12.25,10.0,1.51,0.0,25.0,-1.1795745997614826,0.16058351564336804,False,0.02600273808608621,0.026031636040544565
12.25,10.0,1.52,0.0,25.0,-1.1895145481522909,0.16022407461322125,False,0.025995766490204006,0.025971746102630623
